Comment,Insult
anoel gotta go do real work but i still want an anoellment from ya you are a waste of humanity,1
great form of travel apart from going through tunnels,0
are you newcomer to this world,0
fact georgia passed a strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over agriculture job openings and they have been able to fill about of them in past year all you white real americans who are looking for work that the latinos stole from you where are you the jobs are i vadalia just waiting for you or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners you scream you complain and you sit at home in your wife beaters and drink beer typical real white tea klan,1
ah you are one of those guys self flagellating alt tech guy,1
you talk crap nothing shooting does endangers many species of birds and animals but you are welcome to now give us examples of this so go on name some animals and birds endangered by shooting,0
o o some of you fucks who post in this board are retarded the waste are fucking awesome and that show was sick fucking internet troll pricks,1
omfg how many trolls are here when will trolls learn fucktrolls trollssuck,1
poor baby you did not get your extreme santorum ron paul or any of the other losers vote for obama punk you are a bitter coney island whitefish that never had a chance to be used you are worthless and a pintless ideologue bigot your sentiment of vitriol comes at know surprise you must have given a a bunch of money away poor baby literally punk,1
same reason no one cared obama did cocaine which is a felony as well,0
spursruss i live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they would not be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you aren t because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government gets away with corruption so many ignorant people thats why you shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same as all presidents of argentina do using it to cover their failing,0
oh you sit down and shut the fucck uup you mental retard what the fuck do you know retard i hate people like you why dont you go get violently killed in a car accident you fucking retarded dick headed bitch mother fuckin ass hole,1
no just makeing us not like you anymore,0
dear lord i believe you are guiding me to find my destiny there may be lost there may be obstacles there may be faliures there may be disappointments yet i never give up my fight for a wiser way of life may you be always with us and guide us away from getting lost,0
you are right,0
linux torvalds nvidia fuck you this will remain in history if linus said it then nvidia deserves it,1
you are a sad ignorant pitiable fuck i take that back you are not worthy of pity,1
wow are you the posterboy for ignorance run rampant try a spell checker i do not know what you can do about your syntax except go back to school,1
haha fuck you bitch your a fukn cripled cunt fuck you motherfucker stay off this page unless you want to die bitch,1
you are just plain stupid and for that there is no cure,1
are you serious,0
you are soo inteligent white girl tell us black people more about ourselves im sure u know more about us then we do,1
dan amd you have realy no clue on every single idiotic comment of all your posts we all do not enjoy your stupid pro amd b u l l s h i t ignorance please crawl back then in the fat ass of your gay loving buddy charliedemerjian semiinaccurate and try to find the light inside u stupid fag we realy do not need and want your post here anymore,1
you are such an asshole it is not even funny anymore you must be one of those people that is near impossible to be around and who corrects people when they say less instead of fewer people like you never make it very far regardless of how great you think you are because you are impossible to work with and a complete snob that everybody tends to dislike,1
look dumbfuck i am just pointing out the asshoie s hypocrisy in calling out other people s errors if you want to defend him and suck his cock then go get a private room together and have some decency,1
are you rooting for nole now,0
are you hate to saythis word retarded,1
the d bags are absolutely atrocious from top to bottom horrific pitching and zero offense,0
fuck u and your moma bitch,1
us whites do not like coloured people,1
i hate whiny people and most seem to be conservative,0
faggot,1
god get rid of the shitty tattoos and piercings another decent girl ruined and she is not even from la and got it tatted lol what a fuckin loser,1
that guy is a real fuckstick,1
that looked like you at first glance,0
p s and drop that loser suzy you are a loser and a trouble maker exit stage left and go get a job it is a rap,1
you seem desperate and psychotic go away,1
you are a fool,1
you like whore,1
shut up you stupid ho lol,1
why are you turning this fun event into a race thing miserable fuck,1
according to members of the australian community he is not the only molester to end up in the united states after australian community leaders failed to report them to legal authorities other molesters fled the country more recently as suspicion of abuse fell on them community members say it is said that they frequent the same american internet site as nanabozoh r the forward has learned that at least two suspected molesters from the australian jewish community are living in the united states while they are under investigation in australia r r r read more sex abuse scandal in australias jewish commu p all ixzz yic whxv,0
anybody and i mean any motherfucker who confuses bill pullman with bill paxton is a fucking imbecile beneath contempt,1
buddha is a fat ass slob nuff said he is the fake you moron,1
that is funny do not care who ya are,0
fuckoffashreduxagain you know full well obama is abusing his power prosecutorial discretion is based on an exception one on one basis as they come up to hand out blanket amnesty to pander to the hispanic vote and then try to hide behind this executive power is abuse and you know it,1
great review thanks for the chance to win some of these,0
of course not the better ibaka does the more he will be able to fetch in trade though it had make the trade hurt more unless we are willing to go heavy into the tax for multiple seasons highly unlikely with the harshness of the tax penalty under this cba it is either trade ibaka or let him walk for nothing,0
make room for your rd roommate in dot,0
yeah course he will kick them out after years the cuddly wuddlys will not let him labour will probably veto the proposal he will not do it anyway who will remember that it was mentioned in years time once the election has been and gone and can you imagine how much it will be to have your car washed,0
yeah i bet you inbred hillbilly,1
do you know who i am fu you rocksucker,1
you do know you are an asshole and started all the shit with him you jews have been doing the same for years banning together to the detriment of decent people another reason most in the world would cheer for the nazis today,1
she can act like she thinks she is perfect and be a naive bitch,1
it is not like all straights have an issue with homosexuality the issue appears to be that some people of some faiths somehow think it is contagious or are afraid of the temptation or something the issue here is appeasing the evangelicals and the biggest issue is that the people who seem to care the most are the least likely to actually run into many gay people to start with,0
needs to give me a fucking like hows everyone doin,0
oh poor you you are judged for being black then poor me i have to listen to your whiny black azz,1
i am so fucking sick of seeing this guy should be christian grey everywhere shades is the worst book i have ever read horrible writing the sex was not even hot ugh,0
and obama was telling the truth when he said the economy was getting better just because you do not like the facts does not mean it is a lie,0
nazi nutcase when you will realize jew hatred is outdated and its for losers will you blame them for blood libel or causing both world wars too,0
lol allen iverson was right he told lebron people was gonna hate him jealous ass pussy fucks say what you want about him he s in the finals and you are behind a computer scratching your nuts know your place btw okc vs heat is gonna be a good ass game,0
pelosi is one of many who is standing behind the most criminal obummer but if they stood really close together you could not tell them apart they both along with holder and all the rest of em are outstandingly extremely deadly they all look like death warmed over but do not trust any of them they look dead because they are dead but they are the dead that can kill you if you are not careful i hope there will be some good news soon i am sick of this whole damn mess and more so i am hoping that we the people will have learned the lessons we are being taught on horrible government from the horrible governmental places where the dumb are in those schools of law all the way to the white house,0
no we have no concept of sitting on your butt and waiting for a hand out,0
complete suicide dumbass you are wasting oxygen and space that a rat needs,1
now the excuse is that we are playing a soft schedule,0
oh just shut your shitty mouth stinky queen go clean your toilets,1
fuck u faggot who the hell are you to call a county shit u gotta be a bastard get your self fucked u base born piece of shit,1
the funniest bill maher quotes and jokes from recent years what is it with conservatives it seems like if they are anti illegal alien they have illegal aliens working for them if they are anti gay they turn out to be gay if they are super christian they are a witch bill maher,0
what you no need kpop friends when you go to kpop concerts you will eventually meet some in the arena or just fucking have the greatest night a kpop fan would have no one will care if you scream all by ur self haha dream concert vs why the fuck i would care if im alone haha,0
faggot are nothing but filth the only thing i agree with the mud slimes on stone the f i lthy fags to the death nuff saidd,1
of course you would think that being a liberal lemming and flying monkey that you are anything that your side does that is immoral corrupt and un american is a republican lie problem is that is all they are and do and we have seen the truth so blow it out your arse but thanks for the verbal bird cage liner you continuously supply you and your ilk are the main supply of info and reason as to why obama an liberalism needs to go,0
dick face u would do shit fake ass,1
by the way typical leadership trying to imitate sid s down on one knee wicked one timer,0
have any of yours stopped ogling each other long enough to evolve past monosyllables and cute attempts to use vocabulary you do not understand,0
let me guess your a ugly fat ass welfare collecting caucasian correct,1
piss off you sniveling little turd,1
i am so fucked,0
jmen who are you talking about never hoida him,0
wtf u talkin bout here go another pussy internet thug with no photo on here talkin shit as usual go to sleep pussy nigga,1
it is rumored you are a fkucing moron,1
stupid fucking idiots what more can you say these freaks should put signs on their foreheads saying this space for rent,1
make your mother stop spreading herpes,1
st century conservatism manufactured outrage,0
you are just an idiot blabbermouth that is gonna get stopped hard one day you will not be saved,1
we have more where he came from do not rest we are watching your fat azz,1
please tell me these are all satire,0
wow you are incredibly stupid,1
well then the op would learn that she cannot diagnose herself with aspergers and that self diagnosis is a bad thing leading to people whom act stupidly because they think they have some disorder disease that in actuality they don t,1
by the way leidiot is a jerk,1
my st girlfriend in highschool was greek she had hair between her breasts freaked me out have never been the same since speaking of greeks and freaked out why is wall street so freaked out over greece a country covered in goat turds and men parading down the beach with their schlongs a swinging the bottom line teachers are always getting fucked by political promises and as a result of the total disrespect they are lashing out in all types of unusual behavior if you hear a politician in throw around more bullshit on how he is going to make life better for teachers do the teachers a favor do not vote for them,0
aimless abe you are a delusion weirdo that should be locked up inside and kept away from computers anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end,1
must be nice having umps on your team,0
up to a jury dont you think would have been nice to see the horse groomer have the same privilege of a court system,0
ever eat aids infected feces just eat your own and you will,1
seems to be working like it is on steroids eg very well,0
wwesucks nwo life fucksummer weareincontrol,0
based on the architecture stucco building and foliage oh and the dancing gay black kid i am betting this is from florida,0
this kinda fucked up thinking is why you need a civics lesson you have no understanding of simplest concepts of democracy,1
they have no chemical companies or nuclear plants right and it is not like we have caught their agents getting ready to blow anything up or anything right so sure then you have absolutely nothing to worry about unless they oh oh should i cut the red wire or the blue wire is that a political thing or are explosives just naturally bipartisan,0
ah you go to a game to watch it not have some moron spill beer on you if he do not like it stay home you say if some drunk moron can hold his beer maybe he should stay home instead of soaking others with it the idiots can blow the horn into the air why into a guys ear,0
fuck u la nabey u bo langchiao mother fucking bitch u tell super junior until like that u just soo jealous of them la wth u are a mother fucking bitch do u know that u just being a racist huma no monster with no heart wth saying ryeowook s voice is not nice ur fucking voice is soo rusty la fucker go eat shit la u are worst then fats,1
wow joe now there is an intelligent counter point congrats,0
your an idiot,1
may he eat shit and live,0
should not have the us officials kept their mouth shut until the notification process was complete i agree with you but the blame is more on them the press will just run with what they are given,0
it is funny the big would claim naming rights after stealing the whole big thing from the big ten because they were too stupid to think of their own brand name,0
fuck you,1
go change your depends crybaby,1
damn you guys woke up baby bron bron and now he choking,0
you are an idiot,1
aww its ok you too young for a tattoo haha having tattoos of your idols is not gay i have my dad and grandpa tattooed on me is that gay nope your a idiot and immature little bitch,1
you are reaching i am a proud american you are still an idiot,1
victor moore you are one dumb ass writher or you are smoking some bad crack wtf suck hawks nock off the niners wtf dude buy some good coke stay off that bad shit dude are you hanging with bobby brown dang,1
your dumb,1
lmao noone goes a damn what ur country says and actually not it is not more offense it just makes u look dumb and correction fuck you,1
if you mean uk is your god then you are right,0
just too freakin funny you are so stupid talk about gullible,1
haney you suck as a painter keep your day job wait you suck at that too,1
everyone here even gays will tell u that you are a stupidfaggot who is brainless and proves the anti gay cause right lol,1
you know you love when i give details like when you suck my cock and i say oh swallow me while i finger your asshole,1
are you employed by whom you are talents are wasted at whatever you do i am sure of it lulz,1
your all talk if you saw a black man in the street your pale ass would run the other way you stupid racist bastard,1
asta luego ayi deje unas hijas de puta radrando como perras qu son a chingar su madres y clone m tete un balazo puto no tienes vida saludos desde texas fuck you hating ass fags wheeler driver out here,1
you are starting to sound like a nazi,1
haha you do not own an iphone man your fucking poor,1
i think both of you need to grow up and stop arguing over a fuckin computer all day and do something with your lives like maybe go outside for a change or get out of your moms basement and find a job d,1
damn you get stupider every day poor guy,1
i would not say that more like he brings a fresh young perspective on the band,0
are you serious breaking and entering assault and battery rape endangering an infant that guy should be put away for good,0
and what are you going to do tough guy,1
they just want a portion of the road so they can carry out their hangings in familiar territory,0
i talk about you all the time for instance denial is a warm yellow river running down your leg did you forget you have to pee sitting down again for the retards in the audience i am implying that hanniturd is a woman yes hanniturd the retard in the audience is you,1
inhofe there is nothing the epa can do to miners what the mining company have not already done and done far worse they are the ones literally killing the miners for the sake of profit they are the ones you should be investigating and not protecting,0
que poca mother de milenio noticias son un fraude junto con pe a nieto la verdad que ustedes unden a el p is todo por el puto dinero de mierda que bajo has caido milenio fuck you,1
nope your maths its played with draws and glenwood can be thankfull for the draw maritzburg college where the better team on the field on the day,0
if you want to make your online marketing video viral you must be updated with the latest technological advancements and make use of that on your next video for example if the camera you re using is a little bit outdated and produces low quality videos then it must be time to purchase a new one or if your editing software has limited capabilities get another one that offers more capabilities that will improve the quality and life of your video,0
there is a lot of assad slave shabihah here fuuck them,0
what a horrible nightmare but not to worry it is your sub conscience kicking you in the rear you can do this girl i quite smoking ten years ago cold turkey in solidarity you have inspired me to write a post for you maybe in a week or so hang in there hugz,0
the easy part about walker pissing me off is he arbitrily takes away a bargained for right then sits back while people like you who know nothing about unions do his dirty work for him why enjoy being a pawn,1
id kill you if you were here not because im a gangsta but because i hate you f ck you,1
schoolswot no its just smug idiot left wing hypocrites that i despise it is just unfortunate that there are so many of you about,1
i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid week ago women are not safe to have sex after child birth for at least weeks so even if this was consensual it would have been wayy too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in it is house and i hope the mother recovers quickly,0
they were selling their enemies right now in africa they are killing their enemies like uganda to mention one country and they are africans slavery is cruel no matter you are yellow or green,0
fd f a cc fc disqus she means the dad not the dead guy,0
shudup and pay your fair share for a change you greedy cracker you sound like a jew when yous tart whining about money it is time you paided your fair share,1
this is fucking illuminati i mean if you see the video there is this scene where she is on a wheelchair and the little girl tries to protect katy perry from the gigantic bull faced people which is a symbol of devil p s the girl is a mere reflection of katy perry when she was young,0
you would be the one to know that but i dont think the color of the cock matters to you as long as you have cock you sick aids infected sodomite they should charge a cum guzzler like you more for healthcare the actuary tables prove that your lifestyle choice is a deadly one,1
everything is you white folks fault now deal with it punk or do something about it,0
lulz do some research on nike some time you are a moron,1
what an honor to be able to see you so up close and personal i will be counting the sleeps if i had a tail i would wag it,0
listen i am anti killing but i am not anti guns i am anti dui but i am not anti cars i am anti dog bites but not dogs i am anti shop lifting but i am not anti merchandise i could go on and on i am anti gay marriage but not anti gays get the picture,0
is not it fun to try and cover up evil you bastard,1
when you are able to prove the existence of god then you can come back and rant about evolution s failure to disprove god s existence until then you are just another ranting and mindless christer for whom nearly everything especially sounds in the night are frightening,1
dont you have a cross burning to go to,1
no it didnt your comments just proved even more that you are a self absorbed pretentious asshole,1
you just proved your ignorance,1
ei truth be said u r the truth fuck akata ppl they are just slaves low iq s,1
it is not that serious it is just a swimsuit pic it is not like your posing for porn ppl ugh you all kills me,0
from all of your other comments on this site since when are you a responsible one to talk,1
he should be deported immediately along with any others who would do us harm and if the echr do not like it tough and when britain really was great he would have been but i am fully aware that our government have not got what it takes to put the safety of the british people above kowtowing to europe,0
you are so funny,0
im just saying we could have done nothing lost kristic during the lockout lost jeff green to heart surgery and been much worse off presti has a hot tub time machine,0
i think you are a chicken fucking moron,1
you gotta be retarded,1
yeah life a programmer behind the keyboard do me a favor no really i really need you to do me a favor alot of people think diffent than you do but since you want to come out your face tough computer screen guy do me a favor and suck my dick ok no beat it cock sucker doc,1
the british public are something else wanting that fame hungry bottom feeder back on the panel i dont doubt the near death experience she had in labour has made her some kind of public sweetheart now,0
f uck off loser colon cowboy go back to your boyfriend s filthy dirty hair bacteria infested ass hole and hope that when you pull your c ock out it is not too brown or does someone else s s hit on your cock turn you on you and your type are sick disgusting perverts,1
just another piss ant rambling he be,1
have another bottle of ripple and go back to your drunken slumber,1
did you see the picture of president limber neck bobbing his head to the mexican president on drudge front page,0
choosing to not eat animals does not make you a pussy go choke on a corndog bitch,1
loosing in the finals has to get you at least a little bit of respect,0
you are an idiot my intolerance of your idiotic opinion is intentional,1
go study up on econ and get back to us when you know what the h ll you are talking about,1
please you have a tiny dick and your mom sucked it,1
listen you fucking wanker we approve all comments so long as they are not inflammatory against a type of people we censor blatant bigotry but little dickwrinkles like you calling me a pussy i would never censor that look at other posts people have wished aids on me dude so i ve heard worse fuckhead that said if you have to sleep with a woman in her s then that is pretty sad dude try dating girls your own age it is kind of weird you are into way older chicks you might wanna rethink hugging your own mom when you have a boner going forward plus i have had more ass than every male in your entire family line with their fucked up teeth and small dicks has ever seen just a point of clarification you bucket of cunt slop,1
troll spear any prospect of you learning to speak like anything except a petulant child no huh hey mfcker get the fck off my dick you fuktwatcockbitchfag,1
i double taked took at that malaise malaise hating shit because puberty is not malaise goddammit teen malaise give me a fucking break on the other hand i can at least be drinking at work right now i understand school bound teenagers are not as lucky,0
are you retarded the family are suing hustler because they did not want those pictures published try reading the story properly before accusing a family of cashing in on their dead relative,1
where are your two pussy friends lez and dogballs,0
who gives a rat s rump what geithner says or thinks really he has proven to be an incompetent obama puppet and his failures are stacking up faster than pancakes when rosie o donnell raids her local waffle house this guy is going down faster than janet napolitano when elena kagan comes to visit sorry for the visual it made me puke too,0
despite the fact that i agree with you about this particular topic people like you do not go far with that attitude of never giving a fuck about other opinions or points of view and thinking they are always right,0
tea party murder suicide is not freedom my friend,0
grow up you stupid mongoloid christianity is just as disgusting,1
usa usa usa what a bunch fucking bullshit,0
i have been watching and playing roundball much longer than you been alive young man so you need to stop with you ignorant comments about others not being able to read the full story now you say i am uneducated on the sport you are young man with a miami heat type ego this has been fun reading your post getting all upset too funny and you disqus you need to grow up,1
you need to find that post if you can i and others find you to be full of it,0
you do not even have to try really,0
anyone who says you know what is a fucking jerk,1
i would agree very friendly town and it is friendly with depth i have lived in other areas where people are friendly but it is more of a politeness with little warmth,0
conference champs only we are not trying to pick the pecking order but give every school via their conference a path to play for the national championship this is so simple to get right why do these clowns keep screwing it up win your conference you play lose you don t,0
imprisoning black men disproportionately obama does it are you seriuos that s a terribly ignorant statement,0
this whole david brock media matters things now explains why so many of his trolls are homosexual activists when you read the bloggers it at first seems like there are a lot of homosexual activists blogging but it really is just one big david brock borg usually the david brock borg homosexual bloggers all say the same things they all slander fox news they all slander christians they all attack in unison whatever republican candidate is at the top during any particular week david brock wrote of his experience at berkely at berkeley i had no cause to associate conservatism with prejudice against gays in the early s gay issues weren t polarizing our campus since arriving in berkeley i no longer put aside my deeper desires with some hesitation during my freshman year i went on uneasy dates and had hurried s e x u a l encounters with other guys in neighboring dorms by the end of the year i considered myself gay and had surprisingly little trouble accepting that reality during the summer after his freshman year he writes he was attracted to a fellow student referred to in his book as andrew a blond blue eyed dreamboat of the brad pitt variety while they both worked with calpirg the california public interest group,0
this is one of many reasons why you are the face of failure,1
s i m pretty sure the idea of runaway positive feedback in the global warming context goes back to hansen in the s and the beginning of the whole movement after the previous new ice age movement of course his specialty was venus and its unique atmospheric dynamics somehow he became convinced that the same would happen to earth even though the necessary vulcanism proximity to the sun lack of a biosphere and water cycle and atmospheric composition are all totally non earth like but he is convinced we ll turn earth into a new venus even though we can t and the fact that his projections are failing badly means that his acolytes and people not even aware of where this crap came from are now inventing non physical tipping points at unknown times in the near future to justify continuing panic the fact that hansen engineered a hot un airconditioned room back in his original testimony to your politicians is a testament to the fact he is not really much of a scientist of course in engineering and real systems positive feedback is ultimately limited by saturation somewhere in the system but they don t seem to identify what will saturate first in the climate system,0
non ho detto questo quindi non inventare cose anzi ho detto che delle scie mi interessa poco e vanno verificate quindi di che parliamo insunto chi e contro il nucleare esperti o meno che siano sono tutti scemi,0
hey whoever you are do not have the guts even to come out with your real name so your comments are useless garbage and people ignore them,1
would someone who regurgitates and parrots the sheep line from the tape recording really understand,1
i love you katy but i am going to vote for bigbang d,0
why do not schools worry about teaching instead of dumbs t for real are not our childrens educations suffering enough with every hippie retard in the world making it worse you freaks and you dainty feelings whining cause your parents whipped your little bad ass when u deserved it are screwing the whole thing up,0
lmfaoo u pathetic son this must be what you do for fun the highlight of your day go on wshh and write madd shit on ppls comments hahaha i pitty you child u one of them bitches wit no life nobody wanna hang wit u cuz u lame ugly ass fuck fuck outta here fall the fuck bac,1
sounds like you just make it up as you go along this a bunch of yahoos hell bent on a witch hunt not a criminal court reach down and way under grab and pull out your head there now you are free,0
you know it is so easy to talk shit about this you know nothing about what he was going thorough in his life so fuck off,1
like you,0
who needs sex when we getting screwed by the government and the bankers,0
fuck that you force someone to be raped repeatedly every god damn day so your lazy ass can avoid getting a real job beat her imprison her etc etc etc and yeah every great boyfriend lets their girlfriend turn tricks you are fuckin sick your mental with this way of thinking i guess she is out of business if the next pimp knows they are dead man walking lol you have got to be joking you cannot really be related to this scum bag may he burn in hell,1
if its so lame why did you read this or for that matter search this topic maybe you should think a little more before you make yourself look like a fucking hippocrate,1
iwe you are being abusive we have never abused people from other provinces saka you should shut your cakehole if you dont have anything meaningful to contribute kuipa seduzvi rebhinya,0
sure you would sparky sure you would have a nice day you sniveling little coward,1
depression is a bastardly bastard it is the worst glad you are on the move i have been struggling the past couple of months and am just now getting my shit together it is a hideous time,0
yes but now you are just a moron,1
debtom quick call sheriff joe,0
hey boehner gimme that dress i need more motivation snniiff yeh i am ready let us go make a spectacle of ourselves again and again and again,0
why do you think that medics are more important many other occupations are far more vital to our wellbeing we would really be stuck without sanitation engineers or food providers for example,0
that is a brilliant comeback blowhard even though we both know she died from a brain aneurysm would you like me to show you the link again to the story and you can act like you did not know you racist inbred trash slaver to your face,1
thereisnoreason to pat l c on the back she is as dumb as you are,1
f u ron paul sell out schill bastard rand you are no dif than any sob on the hill romney burn in hell id sooner vote for satan,0
id be more embarrassed if i was a zombie voting pole climber that was unable to think for myself with the personality of a cabbage a bit like you really,1
this was a tough loss for us right now there are guys blowing each other in the locker room scott brooks,0
you are beyond reason living in a delusional world just as most right wingers are,0
you act like you faced a good team you played like crap against another crappy team,1
um in short you re an idiot period,1
you are a moron son come on be a man and call it like it is,1
i personally think most of your comments are the garbage but you are a troll so i think it is pretty normal you cannot change your nature,1
he actually said what a spoiled bitch i am i never hated colton the way most of the posters did because i felt for him being gay in a republican family can only mean that you have been villified he was dismayed that it was men vs women as that took away any comfort zone he may have had the men did not welcome him and when he got power it went to his spoiled bitch head,0
pretense only you leftarded batshit crazy troglodytes would have a comment about race when in reality it is all about his socialist marxist facist bullshit way of governing you idiots cannot come up with anything better of a real argument other than playing the race card you are pathetic besides that you do not know me at all how do you know if i am white or black or if i am latino or asian you don t try again you mouthy little punk,1
spin please define the job,0
what they would have edited it to say you really love showing how ignorant and blatantly brainwashed you are do not you covgrats now we all know how much of a loser you are fstaff,1
pedophilia is no more rampant in gays than it is in heteros do some research so you dont sound so much like a bigoted douche,0
you think russians jews israelis are doing this,0
why niggas slappin bitches ass nowadays smh we punchin bootys were im from bruh,0
dumbass that how you fuuking say it not spell it dumbass go suck a dick,1
the hospital has confirmed that he had a seizure no alcohol or drugs involved now i suppose by your thinking the hospital is lying afterall they are all communists or nazis you sound like a fool,1
really seriously people thowin trash out on the road are not right ya think so you noble knights are going to do something about somethin that are not right can ya think of oh anything else that are not right mental and moral giants fellas when you hang around in your little groups and talk crazy you are missing out on normal feedback then when you climb out from under your rock you forget that we can all see that you do not have the sense god gave a goat please go back underground and stay there for everyone s sake,0
when he pulled out it looked like only of his dick was wet dayum no wonder she was moaning,0
the last few weeks seems like a bit of an exaggeration do not you think i have not seen that much shit around here besides angry s latest blog about that guy,0
you conceited little invertebrate hopefully you pass on that decrepit arrogance to the children you will not have you bag of maggot scum,1
i would comment on how confidently the kings are moving the puck around but having a goal lead would tend to instill confidence in your game,0
because the u s can that is why,0
oh did not you know they are irreplacable just ask them,0
she is in love with a coward just like eva braun was,0
are you kidding me one atm on elm near the hardware store just raised their fee to this is exactly like the life of a troubled boxer in fact to take the analogy a bit further and make it even more relevant so hopefully you will see the connection my internet connection speed was not fast enough to stream arrested development in hd,0
jerome the fruit the worlds still is not going to accept you and your sodomite father doing each other to unconsciousness get over it,1
eww i like bb but saying the rest of kpop is not real music just makes you sound dumb as fuck go back to your wonderfully lame articles and leave f x alone also thanks for increasing our views count muahahaha,1
you are a retard you republicans yell about big government but at the same time want to ban gay marriage that does not effect you at all republicans are as big government as it gets by the way no one is saying you can marry kids but two consenting adults can,0
apa tindakan jakim,0
your ignorant as fuck black people been skateboarding for a long ass time stop looking for lil wayne to set your trends,1
we know that i am say the evil zionist think what happend in houla is more evil then what they usaly do to palasinian children,0
how is it reasonable anon when harper has done none of the things you attribute to fascism all powerful leader has to stand for re election in three years strict social order you are joking right glorification of militarism the troops have been recalled and their budget trimmed opposition parties hale and hearty and full of piss and vinegar elimination of organized labour no they did that to themselves by pricing themselves out of the market advancement of business over individuals elaborate ethno centrism try qu bec thomas mulcair s home ground disparagement of the constitution that is the scc s specialty belittling the courts who doesn t these days and for good reason dissolution of mp power do you see the house of commons burning along with those crosses in prince george spying on ordinary citizens child pornographers are not ordinary citizens judging by the raving of harper s enemies on these blogs if he wins another majority there is going to be a worldwide tinfoil shortage,0
doug your side lost that race to throw out a patriot i n order to placate hundreds of union thugs get over it,0
go back to your crapping unperfection home,1
excellent command of the english language once again i want to commend you ni ers on your skillz,1
fight for money go ahead kill yourselfs all for greed common take decision that is not in accordance with what the supreme court says find some connection by the inec and say to yourself ho is my turn to loot not yours or i kill u bounch of shameless idiots,0
who are you to judge him an inadequate,0
and i thought dem s put up their presidential kneepad after clinton left town guess not so tell us u spit or swallow,1
have you been living under a rock kaden,1
clueless like all your postings,1
yeah so what is the big deal letting iran and it is friends know they can not trust their software nor trust in the safety or integrity of everything from their hardware to their people as they play with nuclear materials,0
the wonders of plastic surgery,0
how do you do,0
oh yeah like you would have stopped your car and assisted you are a lying idiot,1
you are a fighter not a lover and your family needs to die too,1
yes so u are wrong,0
dunno but i will not let one of your stupid fucking posts go unanswered while i am on trb you thought dz was a douche just wait bitch,1
alley a pussy florida nigga dnt fuck wit you woe,1
never mentioned race moron it is a high crime area no matter what race you might be,0
good hopefully capcom goes out of business completely,0
then go away nobody here wants to hear your bull crap you are like the flu just when you think you are over the worst here you come with your lib talking points that make no sense and just show how d u m b you are,1
let me try again the mother did not know had no clue in fact she even tried to keep the family together with this piece of garbage whom she loathed because she thought it was in the girls interest no one knew except chris the victim no one she herself could not connect the many dots the effects the incest was having on her own behavior this is the dark side erin you may not have been,0
you are one deluded idiot that has got to be the stupidest comment i have ever heard what a complete and utter plank you are,1
bradly won and boxing is fixed im not a pacman dick rider and i hoped he lost but i saw the whole fight and pacman dominated this dude the whole fucking time bob arum fighters are all suspect mayweather was smart to stay away holy shit,0
nope i am fecking huge and i am from leeds also since when was aberdeen in the north of england,0
holy fuck does it hurt to be that stupid fucking hardcore retard,1
please site that source considering over half of americans think gay marraige should be legal,0
i was just pointing out a fact as to why most sec fanbases are borderline crazy it is all they have if that made you upset get fucked you whiny little bitch,1
i am so proud of you females not like the ones year most prostitutes in the str everywhere even schools maried anything goes terrible people here in santarem the police psp police are rubbish no security they want me dead yes i am from jhb maria the molunga tell everyone there there is a officer fucking alves his name he is a pig a women hater promotes women violances i hate him saw him just now these pigs do not allow me to log in unto my mail or anything because these pigs want to win tonight,1
you certainly come off as an arrogant s o b your right ends when the safety of others begins i do not give a rat s arse that you hunt but keep your bullets along with your second hand smoke away from me sheffield village is a sprawling area and you are living in the past you sir may have to find a new piece of hunting paradise to fulfill your desires as far as history goes tyhe indians hunted all over places change get with it or get out,1
it has been more than one draft class and they have had more discipline issues than the norm,0
i wonder if that had stand up in court he might have killed someone but fuck me he can play cricket he was a prick,0
fuck the great gatsby i m sorry that book sucked ass and the movie will suck even more you know what i am not sorry i hate that book as much as fucking terry tempest williams who whom i had to read in college,0
i cannot bash you on the fact you get to spend your time around usually attractive generally unintelligent females at least around here they are usually give damn good head though however most of the male cheerleaders i know are skinny sobs same with the chicks throwing a hundred and fifty pound dude in the air or a hundred and twenty pound chick is not the same as pushing pulling around a three or four or more hundred pound barbell so please you have got what you do we have got what we do do not act fucking superior and most of us wont either,0
you know you are struggling when descalso hits a homer off of ya yikes,0
you are just not happy are you lol,0
you are such an incredibly ignorant piece of,1
no i think wimmin talking about treating looking as wolf whistling see related articles and being wolf whistled is as hurtful as being groped slapped and of treating all sexual violence on a par is thretenening half the population s liberty but what would a feminist understand about human rights or justice,1
